0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:11:35 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6737
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:11:35 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:12:41 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6406
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:13:06 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:14:18 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6406
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:14:18 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:18:54 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6468
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:18:54 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:21:08 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6492
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:21:08 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:21:18 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6493
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:21:18 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:21:33 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6492
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:21:33 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:23:09 +0530] "GET /frontend/main2.html HTTP/1.1" 200 6504
0:0:0:0:0:0:0:1 - - [25/Dec/2019:14:23:10 +0530] "GET /w3images/avatar_hat.jpg HTTP/1.1" 404 736
